insectarium insectaria
insula insulae
intaglio intagli
interleaf interleaves
intermezzo intermezzi
interregnum interregna
interrex interreges
intima intimae
involucellum involucella
involucre involucra
involucrum involucra
iris irides
irs irs
is is
ischium ischia
isthmus isthmi
jackeroo jackaroo jackeroos
jackfish jackfishes
jackknife jackknives
jambeau jambeaux
jellyfish jellyfishes
jewelfish jewelfishes
jewfish jewfishes
jingo jingoes
jinni jinn
joe joes jo
jus jura
kaddish kaddishim
kalmuc kalmuck
kalmuck kalmucks kalmuc
katabasis katabases
keeshond keeshonden
kibbutz kibbutzim
killifish killifishes
kingfish kingfishes
knife knives
kohlrabi kohlrabies
krona kronur
krone kroner kronen
kroon krooni
kylix kylikes
labarum labara
labellum labella
labium labia
labrum labra
lactobacillus lactobacilli
lacuna lacunae
lacunar lacunaria
lamella lamellae
lamia lamiae
lamina laminae
lapillus lapilli
lapith lapithae
larva larvae
larynx larynges
lasso lassoes
lat latu lati
latex latices
latifundium latifundia
lavabo lavaboes
leave leaves leaf
lecythus lecythi
lemma lemmata
lemniscus lemnisci
lenis lenes
lentigo lentigines
leonid leonides
lepidopteran lepidoptera
leprosarium leprosaria
leptocephalus leptocephali
lepton lepta
leu lei
leucocytozoan leucocytozoa
lev leva
lex leges
libra librae
libretto libretti
lied lieder
life lives
ligula ligulae
likuta makuta
limbus limbi
limen limina
limes limites
limulus limuli
lingo lingoes
lingua linguae
lionfish lionfishes
lipoma lipomata
lira lire
liriodendron liriodendra
litas lit litai litu
lixivium lixivia
loaf loaves
loculus loculi
locus loci
loggia loggie
logion logia
lomentum lomenta
longobard longobardi
lorica loricae
loti maloti
louse lice
luba luba
lubritorium lubritoria
lumbus lumbi
lumen lumina
lumpfish lumpfishes
lungfish lungfishes
lunula lunulae
lure lur lures
lustre lustra
lymphangitis lymphangitides
lymphoma lymphomata
lymphopoiesis lymphopoieses
lysis lyses
lytta lyttae
maar maare
macaroni macaronies
maccaroni maccaronies
machzor machzorim
macronucleus macronuclei
macrosporangium macrosporangia
macula maculae
madame mesdames
mademoiselle mesdemoiselles
madrono madornos
maestro maestri
mafioso mafiosi
magma magmata
magnifico magnificoes
magus magi
mahzor mahzorim
malleolus malleoli
malleus mallei
mamilla mamillae
mamma mammae
mammilla mammillae
man men
mandingo mandingoes
mango mangoes
manifesto manifestoes
manservant menservants
manteau manteaux
mantis mantes
manubrium manubria
marchesa marchese
marchese marchesi
maremma maremme
markka markkaa
marsupium marsupia
masse mass masses
matrix matrices
matzo matzoth
mausoleum mausolea
maxilla maxillae
maximum maxima
media mediae
mediastinum mediastina
medium media
medulla medullae
medusa medusae
megaron megara
megasporangium megasporangia
megillah megilloth
meiosis meioses
melanoma melanomata
melisma melismata
memento mementoes
memorandum memoranda
meniscus menisci
menstruum menstrua
mesenteron mesentera
mesothorax mesothoraces
mestizo mestizoes
metacarpus metacarpi
metamorphosis metamorphoses
metanephros metanephroi
metastasis metastases
metatarsus metatarsi
metathesis metatheses
metathorax metathoraces
metazoan metazoa
metempsychosis metempsychoses
metencephalon metencephala
mezuzah mezuzoth
miasma miasmata
microanalysis microanalyses
micrococcus micrococci
micronucleus micronuclei
microsporangium microsporangia
midrash midrashim
midwife midwives
milieu milieux
milium milia
milkfish milkfishes
millennium millennia
mina minae
minimum minima
ministerium ministeria
minutia minutiae
minyan minyanim
miosis mioses
mir miri
miracidium miracidia
mishnah mishnayoth mishna
mitochondrion mitochondria
mitzvah mitzvoth
modiolus modioli
modulus moduli
momentum momenta
momus momi
monas monades monad
monkfish monkfishes
monochasium monochasia
monopodium monopodia
monopteron monoptera
monopteros monopteroi
monseigneur messeigneurs
monsieur messieurs
monsignor monsignori
mooncalf mooncalves
moonfish moonfishes
mora morae
moratorium moratoria
morceau morceaux
moresco morescoes
morisco moriscoes
morphallaxis morphallaxes
morphosis morphoses
mors morses morse
morula morulae
mosasaurus mosasauri
moshav moshavim
moslem moslims moslim
mosquito mosquitoes
motto mottoes
mouse mice
mucosa mucosae
mucro mucrones
mudejar mudejares
mudfish mudfishes
mulatto mulattoes
multipara multiparae
murex murices
muskellunge muskallunge
mycelium mycelia
mycetoma mycetomata
mycobacterium mycobacteria
mycorrhiza mycorrhizae
myelencephalon myelencephala
myiasis myiases
myocardium myocardia
myofibrilla myofibrillae
myoma myomata
myosis myoses
myrmidon myrmidones
mythos mythoi
myxoma myxomata
naevus naevi
naiad naiades
naos naoi
narcissus narcissi
naris nares
nasopharynx nasopharynges
natatorium natatoria
naumachia naumachiae
nauplius nauplii
nautilus nautili
navaho navahoes
navajo navajoes
nebula nebulae
necropolis necropoleis
needlefish needlefishes
negrillo negrilloes
negrito negritoes
negro negroes
nemesis nemeses
nephridium nephridia
nereid nereides
neurohypophysis neurohypophyses
neuroma neuromata
